"date","branch_office_id","sucursal","ventas","mes","dia","year","dia_semana"
"2024-01-02","1","UNIMARC EL PAMPINO","2085210","1","2","2024","martes"
"2024-01-02","2","UNIMARC EL PARQUE","1650840","1","2","2024","martes"
"2024-01-02","5","UNIMARC LA SERENA","2004832","1","2","2024","martes"
"2024-01-02","6","UNIMARC OVALLE","1282311","1","2","2024","martes"
"2024-01-02","7","UNIMARC QUILLOTA","417101","1","2","2024","martes"
"2024-01-02","8","STA ISABEL REÑACA","1278582","1","2","2024","martes"
"2024-01-02","9","STA ISABEL LOS CARRERAS","373236","1","2","2024","martes"
"2024-01-02","10","STA ISABEL VALPARAISO","1540714","1","2","2024","martes"
"2024-01-02","11","STA ISABEL CLAUDIO VICUÑA","492732","1","2","2024","martes"
"2024-01-02","14","MALL PASEO DEL VALLE","351093","1","2","2024","martes"
"2024-01-02","15","UNIMARC VIÑA","599706","1","2","2024","martes"
"2024-01-02","16","ALVI MAIPU","527143","1","2","2024","martes"
"2024-01-02","17","UNIMARC FCO. BILBAO","158571","1","2","2024","martes"
"2024-01-02","19","UNIMARC LOS MILITARES","221932","1","2","2024","martes"
"2024-01-02","20","MEDS MAIPU","802184","1","2","2024","martes"
"2024-01-02","21","SODIMAC ÑUBLE","876830","1","2","2024","martes"
"2024-01-02","22","TOTTUS NATANIEL","1873656","1","2","2024","martes"
"2024-01-02","23","TOTTUS SAN BERNARDO","2830295","1","2","2024","martes"
"2024-01-02","24","TOTTUS VICUÑA MACKENNA","1234748","1","2","2024","martes"
"2024-01-02","26","UNIMARC CHILLAN","685335","1","2","2024","martes"
"2024-01-02","27","UNIMARC OSORNO","1634832","1","2","2024","martes"
"2024-01-02","29","UNIMARC CONCEPCION","4705968","1","2","2024","martes"
"2024-01-02","32","UNIMARC LINARES","698193","1","2","2024","martes"
"2024-01-02","33","EL MUSEO","3793799","1","2","2024","martes"
"2024-01-02","34","MALL CENTRO","1011344","1","2","2024","martes"
"2024-01-02","35","MALL MELIPILLA","2917773","1","2","2024","martes"
"2024-01-02","38","MALL SAN BERNARDO","2907857","1","2","2024","martes"
"2024-01-02","41","TOTTUS CATEDRAL","1154075","1","2","2024","martes"
"2024-01-02","42","UNIV AUTONOMA","2738021","1","2","2024","martes"
"2024-01-02","43","M10 VILLA ALEMANA","41824","1","2","2024","martes"
"2024-01-02","45","STRIP RECOLETA","140378","1","2","2024","martes"
"2024-01-02","46","CLINICA AUTONOMA","686387","1","2","2024","martes"
"2024-01-02","50","TOTTUS TALAGANTE","259160","1","2","2024","martes"
"2024-01-02","54","STA ISABEL VILLA ALEMANA","384285","1","2","2024","martes"
"2024-01-02","55","TOTTUS SAN BERNARDO ESTACION","137479","1","2","2024","martes"
"2024-01-02","56","STRIP IRARRAZAVAL","153866","1","2","2024","martes"
"2024-01-02","65","LIDER OSORNO","1201932","1","2","2024","martes"
"2024-01-02","69","LIDER PUERTO MONTT","512018","1","2","2024","martes"
"2024-01-02","70","LIDER PUERTO VARAS","417395","1","2","2024","martes"
"2024-01-02","74","STA ISABEL LOS ANGELES","1275421","1","2","2024","martes"
"2024-01-02","76","LIDER TALAGANTE","313319","1","2","2024","martes"
"2024-01-02","78","EDIFICIO BANCOESTADO","10989202","1","2","2024","martes"
"2024-01-02","79","LIDER VALDIVIA","887142","1","2","2024","martes"
"2024-01-02","80","OFICINA","1861111","1","2","2024","martes"
"2024-01-02","81","STA ISABEL VIÑA","151219","1","2","2024","martes"
"2024-01-02","84","STA ISABEL VICUÑA MACKENNA","673235","1","2","2024","martes"
"2024-01-02","89","LIDER GRAN AVENIDA","442647","1","2","2024","martes"
"2024-01-02","90","LIDER RANCAGUA","72773","1","2","2024","martes"
"2024-01-02","92","LIDER LIMACHE","498866","1","2","2024","martes"
"2024-01-02","93","LIDER OVALLE","340378","1","2","2024","martes"
"2024-01-02","96","LIDER TOBALABA","25084","1","2","2024","martes"
"2024-01-02","97","UNIV BERNARDO OHIGGINS","1312270","1","2","2024","martes"
"2024-01-02","99","LIDER COPIAPO","249328","1","2","2024","martes"
"2024-01-02","100","STRIP TALCA","426638","1","2","2024","martes"
"2024-01-02","101","LIDER QUILIN","1178612","1","2","2024","martes"
"2024-01-02","103","TOTTUS LOS ANGELES","763236","1","2","2024","martes"
"2024-01-02","105","LIDER LOS ANGELES","1435379","1","2","2024","martes"
"2024-01-02","106","LIDER ALAMEDA","2105714","1","2","2024","martes"
"2024-01-02","107","EDIFICIO BüHLER","281386","1","2","2024","martes"
"2024-01-02","109","JUMBO LOS ANGELES","8187353","1","2","2024","martes"
"2024-01-02","110","LIDER QUILLOTA","326699","1","2","2024","martes"
"2024-01-03","1","UNIMARC EL PAMPINO","405000","1","3","2024","miércoles"
"2024-01-03","2","UNIMARC EL PARQUE","114664","1","3","2024","miércoles"
"2024-01-03","5","UNIMARC LA SERENA","604748","1","3","2024","miércoles"
"2024-01-03","6","UNIMARC OVALLE","196260","1","3","2024","miércoles"
"2024-01-03","7","UNIMARC QUILLOTA","106975","1","3","2024","miércoles"
"2024-01-03","8","STA ISABEL REÑACA","428572","1","3","2024","miércoles"
"2024-01-03","9","STA ISABEL LOS CARRERAS","82647","1","3","2024","miércoles"
"2024-01-03","10","STA ISABEL VALPARAISO","29034","1","3","2024","miércoles"
"2024-01-03","11","STA ISABEL CLAUDIO VICUÑA","125126","1","3","2024","miércoles"
"2024-01-03","14","MALL PASEO DEL VALLE","364832","1","3","2024","miércoles"
"2024-01-03","15","UNIMARC VIÑA","136008","1","3","2024","miércoles"
"2024-01-03","16","ALVI MAIPU","78613","1","3","2024","miércoles"
"2024-01-03","17","UNIMARC FCO. BILBAO","96513","1","3","2024","miércoles"
"2024-01-03","19","UNIMARC LOS MILITARES","238739","1","3","2024","miércoles"
"2024-01-03","20","MEDS MAIPU","323949","1","3","2024","miércoles"
"2024-01-03","21","SODIMAC ÑUBLE","220672","1","3","2024","miércoles"
"2024-01-03","22","TOTTUS NATANIEL","204370","1","3","2024","miércoles"
"2024-01-03","23","TOTTUS SAN BERNARDO","417815","1","3","2024","miércoles"
"2024-01-03","24","TOTTUS VICUÑA MACKENNA","48403","1","3","2024","miércoles"
"2024-01-03","26","UNIMARC CHILLAN","388067","1","3","2024","miércoles"
"2024-01-03","27","UNIMARC OSORNO","155462","1","3","2024","miércoles"
"2024-01-03","29","UNIMARC CONCEPCION","117773","1","3","2024","miércoles"
"2024-01-03","32","UNIMARC LINARES","124412","1","3","2024","miércoles"
"2024-01-03","33","EL MUSEO","113487","1","3","2024","miércoles"
"2024-01-03","34","MALL CENTRO","673655","1","3","2024","miércoles"
"2024-01-03","35","MALL MELIPILLA","1278908","1","3","2024","miércoles"
"2024-01-03","38","MALL SAN BERNARDO","732438","1","3","2024","miércoles"
"2024-01-03","41","TOTTUS CATEDRAL","163571","1","3","2024","miércoles"
"2024-01-03","42","UNIV AUTONOMA","146470","1","3","2024","miércoles"
"2024-01-03","43","M10 VILLA ALEMANA","42151","1","3","2024","miércoles"
"2024-01-03","45","STRIP RECOLETA","215336","1","3","2024","miércoles"
"2024-01-03","46","CLINICA AUTONOMA","8824","1","3","2024","miércoles"
"2024-01-03","50","TOTTUS TALAGANTE","100596","1","3","2024","miércoles"
"2024-01-03","54","STA ISABEL VILLA ALEMANA","68613","1","3","2024","miércoles"
"2024-01-03","55","TOTTUS SAN BERNARDO ESTACION","48068","1","3","2024","miércoles"
"2024-01-03","56","STRIP IRARRAZAVAL","108824","1","3","2024","miércoles"
"2024-01-03","65","LIDER OSORNO","267689","1","3","2024","miércoles"
"2024-01-03","69","LIDER PUERTO MONTT","63992","1","3","2024","miércoles"
"2024-01-03","70","LIDER PUERTO VARAS","102185","1","3","2024","miércoles"
"2024-01-03","74","STA ISABEL LOS ANGELES","329075","1","3","2024","miércoles"
"2024-01-03","76","LIDER TALAGANTE","148739","1","3","2024","miércoles"
"2024-01-03","78","EDIFICIO BANCOESTADO","305714","1","3","2024","miércoles"
"2024-01-03","79","LIDER VALDIVIA","67899","1","3","2024","miércoles"
